valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.52,2019,0.0156,3LAU,0.652,191443,0.803,0,5KQn3B5Zvt6UtYKUuSAunX,1.95e-05,6,0.0608,-5.366,1,Miss Me More,50,2019-09-12,0.0433,97.053
0.392,2020,0.0249,Sondr,0.336,191020,0.856,0,4IDdqBDBCFng8qyQ7ja8YP,0,11,0.111,-6.295,1,Heartache,50,2020-05-01,0.352,98.056
0.0743,2021,0.117,Otherwise Fine,0.574,176836,0.844,0,06AuNyqPNwKBvZ7a0G6rZP,0.129,7,0.151,-8.513,0,Shipwreck,38,2021-02-19,0.0398,128.025
0.2,2019,0.531,Nurko,0.454,226316,0.809,0,3VHNuIXr0uRzVFsw6kNFPW,3.02e-06,8,0.137,-3.333,1,Breathe Without,51,2019-01-31,0.0528,113.635
0.278,2017,0.0336,Matisse & Sadko,0.553,161538,0.687,0,2PhlrsYp7TSkK96ngbmL38,0,8,0.125,-6.4,1,Into You,51,2017-12-08,0.034,156.0
0.512,2020,0.0152,Seven Lions,0.826,189529,0.486,0,4antEhWfaS40HDDzDw0BFf,0.0928,11,0.122,-10.963,0,Senseless (feat. Tyler Graves),42,2020-03-27,0.0681,126.021
0.0707,2019,0.0102,OTR,0.442,195361,0.431,0,1IQgMSRjsLjVw5VZFeWcC0,0.000202,0,0.118,-9.007,0,Heart,46,2019-04-26,0.0382,109.128
0.237,2020,0.007,Ekali,0.33,181232,0.796,0,3wDhRYT95uMrYId5wkrDbA,0,10,0.0609,-4.987,0,Drown (feat. Au/Ra),44,2020-01-24,0.0473,78.968
0.176,2021,0.0909,keshi,0.464,202667,0.448,0,4FWzhh5B1rowe3qWKId1x3,8.24e-06,0,0.198,-8.116,1,blue - Jai Wolf Remix,14,2021-01-08,0.0266,90.082
0.128,2020,0.0772,Codeko,0.467,219400,0.737,0,3OjsIFbvVKSzChggXzMM8M,0,4,0.366,-4.782,1,Bad At Being Alone,41,2020-05-15,0.0305,149.998
0.262,2019,0.0782,Gryffin,0.251,199919,0.673,0,5mEdu358hFKpuN4YbJ2ZQy,0,3,0.0844,-5.342,1,If I Left The World (feat. MARINA & Model Child),50,2019-10-24,0.076,89.973
0.269,2020,0.235,Shallou,0.493,239347,0.673,0,2ksNrDFXAMk9Y7xKK63Ouu,0.000125,6,0.231,-6.404,1,Silhouettes,44,2020-03-27,0.0313,108.028
0.259,2019,0.0134,Jai Wolf,0.49,234987,0.702,0,0k4yUonDEAqoIw3xL2XMVC,5.36e-05,4,0.104,-4.564,0,Better Apart (feat. Dresage),0,2019-03-29,0.026,149.974
0.113,2020,0.0313,Autograf,0.676,222992,0.606,0,5G8T8JFhuGVG9aOPLaIzIx,0.00038,0,0.106,-5.878,1,If You Never Loved Me,43,2020-10-23,0.0382,123.94
0.151,2021,0.246,MitiS,0.374,328276,0.659,0,1lypBFGiKyft1PVgNp358Y,0.00104,2,0.0991,-5.427,1,Homesick (feat. SOUNDR),47,2021-02-12,0.0438,173.892
0.355,2020,0.0803,Ekali,0.546,197100,0.764,0,0PjDVyVAkT8vfWD0pVmpPx,8.84e-06,5,0.0971,-4.641,1,Hard To Say Goodbye (feat. Chloe Angelides),51,2020-01-24,0.053,152.994
0.5,2019,0.0621,RITUAL,0.699,180000,0.855,0,7HnSY7CAnw7FgiSiwVILiz,0.000164,0,0.0853,-3.267,0,Using (with Emily Warren) - Syn Cole Remix,51,2019-08-23,0.036,107.978
0.328,2020,0.182,SLANDER,0.249,225882,0.732,0,2wwSQbfTJUqNqDch31XUpW,0,1,0.117,-6.455,1,Hurts Sometimes (with Jonathan Mendelsohn),51,2020-10-23,0.104,169.896
0.398,2020,0.421,Myon,0.539,177945,0.757,0,2evXDtD2q2faHAiESi9LyH,0,7,0.0908,-5.461,0,Cold Summer - Sean Darin Remix,45,2020-02-21,0.0401,145.955
0.381,2019,0.0691,Ken Loi,0.494,189091,0.683,0,0fBkqSsrpoqkLj4kmF6lxa,4.78e-05,11,0.202,-7.417,1,Hurricanes,45,2019-12-20,0.0447,165.039
0.328,2021,0.0473,Felix Cartal,0.821,155897,0.645,1,3JCduk0tXQFjJBzo7qsj5e,2.11e-06,11,0.0858,-5.385,0,My Last Song,49,2021-05-21,0.0515,117.001
