valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.413,2019,0.0945,Andy Grammer,0.728,151734,0.701,0,7jaDLcrbilPxoH4mIcYyB3,2.08e-05,1,0.181,-6.58,1,I Found You,0,2019-07-12,0.0406,137.97
0.294,2021,0.217,Jonas Brothers,0.669,178222,0.629,0,6nACZEZIt1CIBmF09r5Pb5,0,1,0.366,-5.018,0,Remember This,69,2021-06-19,0.0803,110.865
0.669,2019,0.00103,Khalid,0.665,157220,0.712,0,1mpD5Q8IM32I4bF6eCpU74,0.00333,1,0.102,-7.536,1,Up All Night,73,2019-11-14,0.0527,93.992
0.68,2020,0.25,Bastille,0.787,173206,0.78,0,1lwvJQGhdq6Kyr4BBquf23,0,7,0.0908,-5.023,1,survivin',72,2020-09-22,0.129,95.035
0.549,2021,0.0971,Sam Feldt,0.688,174100,0.662,0,6VYIVgVqEIwzRwpJz5rMa4,1.34e-06,6,0.172,-5.57,1,Pick Me Up,72,2021-05-28,0.0441,115.106
0.634,2021,0.158,Galantis,0.8,140012,0.66,0,4NexTaCZZ7Ehnf03A6SVjt,0.02,0,0.14,-4.903,1,Dandelion,77,2021-01-08,0.158,117.923
0.251,2021,0.00302,Katy Perry,0.615,193543,0.701,0,63eV5hreY9feQP2CmYavpj,0,0,0.0471,-4.257,1,Electric,78,2021-05-14,0.0472,98.073
0.411,2020,0.454,MAX,0.746,172245,0.611,0,5dn6QANKbf76pANGjMBida,0.000922,0,0.133,-7.034,0,Blueberry Eyes (feat. SUGA of BTS),74,2020-09-15,0.101,149.967
0.342,2020,0.142,Kodaline,0.514,185005,0.612,0,1b3nlcP6hogIzYRVK2Ui7K,0,4,0.0868,-5.981,1,Wherever You Are,68,2020-01-10,0.0298,125.99
0.281,2021,0.355,Kygo,0.528,196678,0.453,0,4olrSI30e4RN11Cz2SQgEv,1.06e-06,4,0.104,-9.398,1,Gone Are The Days (feat. James Gillespie),78,2021-04-16,0.0396,119.761
0.436,2020,0.0697,Ava Max,0.614,174760,0.934,0,1KixkQVDUHggZMU9dUobgm,0,9,0.121,-3.709,0,My Head & My Heart,86,2020-09-18,0.07,116.001
0.277,2021,0.00172,Sia,0.575,177801,0.844,0,2AceGjiX9isUbXmMZa0Dl1,0,6,0.114,-4.89,0,Floating Through Space,81,2021-02-04,0.072,104.914
0.742,2021,0.235,Doja Cat,0.762,208867,0.701,1,748mdHapucXQri7IAO8yFK,0.000158,8,0.123,-3.541,1,Kiss Me More (feat. SZA),99,2021-04-09,0.0286,110.968
0.4,2021,0.00843,AJR,0.701,206108,0.547,0,4jbtL4tjkqghUvJknUqU1s,0,2,0.0987,-8.238,1,Way Less Sad,70,2021-02-17,0.0483,140.015
0.862,2021,0.125,Tai Verdes,0.731,173640,0.626,1,4CbrNGvwVjneG8Nk9YQqMR,0,11,0.183,-6.919,1,A-O-K,73,2021-05-06,0.0805,82.488
0.534,2019,0.233,Post Malone,0.704,214907,0.758,0,4VginDwYTP2eaHJzO0QMjG,0.00144,0,0.0924,-3.537,1,Circles,22,2019-08-30,0.0402,120.003
0.518,2015,0.00543,BØRNS,0.611,218107,0.797,0,2GiJYvgVaD2HtM8GqD9EgQ,0.00137,6,0.26,-7.627,0,Electric Love,84,2015-10-16,0.0533,120.041
0.905,2020,0.168,Joel Corry,0.734,166028,0.874,0,6cx06DFPPHchuUAcTxznu9,1.14e-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),89,2020-07-03,0.0662,122.953
0.489,2021,0.00711,Coldplay,0.507,211295,0.828,0,0939D7aT18uBDS2MTjWzct,2.44e-05,10,0.261,-6.023,1,Higher Power,85,2021-05-07,0.0449,178.032
0.0503,2020,0.624,Joji,0.785,163759,0.818,0,6Vgtvd7I5yopJdBuxqjBd2,0.149,7,0.149,-8.711,1,Your Man,72,2020-09-24,0.099,117.98
0.374,2018,0.802,FINNEAS,0.737,190348,0.408,1,7kQkmyoHCEqwe7QwDbkSXM,0,5,0.171,-7.941,1,Let's Fall in Love for the Night,76,2018-10-19,0.104,127.921
0.296,2021,0.0586,P!nk,0.578,277413,0.639,1,4LmN3eU1R1vVEdKuDELpGk,0,4,0.0944,-5.749,1,All I Know So Far,79,2021-05-07,0.0374,108.045
0.638,2019,0.0128,PUBLIC,0.606,232907,0.799,0,5iFwAOB2TFkPJk8sMlxP8g,0,9,0.15,-4.452,1,Make You Mine,78,2019-08-09,0.0261,103.014
0.213,2021,0.181,Ava Max,0.727,177856,0.832,0,0mV43B6pJWRjcM5TmzNe6d,0,9,0.0615,-4.327,0,EveryTime I Cry,78,2021-06-08,0.0366,127.035
0.695,2021,0.00323,BTS,0.759,164442,0.459,0,3VqeTFIvhxu3DIe4eZVzGq,0,8,0.0906,-5.187,1,Butter,94,2021-05-21,0.0948,109.997
0.877,2018,0.223,Dominic Fike,0.815,177667,0.518,0,1tNJrcVe6gwLEiZCtprs1u,0,7,0.104,-6.594,0,3 Nights,78,2018-10-16,0.0897,151.891
0.334,2020,0.00146,The Weeknd,0.514,200040,0.73,0,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,Blinding Lights,94,2020-03-20,0.0598,171.005
0.33,2019,0.0686,Surf Mesa,0.674,176547,0.774,0,62aP9fBQKYKxi7PDXwcUAS,0.00188,11,0.393,-7.567,0,ily (i love you baby) (feat. Emilee),84,2019-11-26,0.0892,112.05
0.897,2021,0.266,Lorde,0.735,192621,0.47,0,3KdoeNlEN0BoAKWzaRLNZa,0.000105,4,0.32,-9.405,1,Solar Power,87,2021-06-10,0.1,87.971
0.304,2021,0.248,Martin Garrix,0.66,217000,0.733,0,2iL0W5qi0ivZ9WRXbZ74cS,8.96e-06,0,0.17,-4.619,1,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,83,2021-05-13,0.0359,119.933
0.575,2021,0.353,Lele Pons,0.748,164185,0.649,0,1oeIC89Q2kH7pBhUnGGFi0,0.000412,5,0.085,-5.061,0,Al Lau,65,2021-05-13,0.0922,92.93
0.914,2003,0.185,Natalie Cole,0.682,171360,0.605,0,241RmK77gecJ1y7jOoQ5lu,0.00326,8,0.0469,-10.771,1,This Will Be (An Everlasting Love),66,2003-01-01,0.0403,125.96
0.736,2007,0.179,Bill Withers,0.702,251467,0.658,0,6Pi1WqBTTSjtl6BWHQSccH,0.000636,9,0.1,-7.835,1,Lovely Day,0,2007-08-21,0.0332,97.851
0.938,2006,0.176,Jackie Wilson,0.631,181067,0.69,0,4TBBPZks71c60whhq0PgdP,0,2,0.121,-6.676,1,(Your Love Keeps Lifting Me) Higher & Higher,69,2006,0.0531,94.574
0.828,2021,0.0251,Jon Batiste,0.873,178290,0.651,0,2QOB5UiRKggr2j9uMD3GYK,0.000107,1,0.213,-4.179,1,FREEDOM,61,2021-03-19,0.0374,115.002
0.819,2007,0.00495,Stevie Wonder,0.646,158040,0.784,0,2jg4Yc8071puvDRYi22B3a,0,5,0.061,-6.137,1,Signed Sealed Delivered (I'm Yours),0,2007-01-01,0.0334,108.84
0.623,1972,0.633,Johnny Nash,0.681,164733,0.373,0,0DcrhZ12WcCqruCs8ibXSf,0.00113,2,0.0751,-13.2,1,I Can See Clearly Now - Edit,69,1972,0.0568,123.423
